atom_label (),chem_label (),x (Å),y (Å),z (Å),Aiso (ppm Å^-3),Adip_xx (ppm Å^-3),Adip_xy (ppm Å^-3),Adip_xz (ppm Å^-3),Adip_yy (ppm Å^-3),Adip_yz (ppm Å^-3),Adip_zz (ppm Å^-3),δ_total_avg (ppm),δ_total (ppm),δ_dia (ppm),δ_fc (ppm),δ_pc (ppm),linewidth (Hz)
H1,c1ax,1.38457,-0.63820,3.32892,0.00000,-925.72146,-320.57570,1672.16610,-1473.44809,-770.75883,2399.16956,135.59864,135.59864,3.51000,0.00000,132.08864,1
H2,c1eq,2.85078,-1.18201,2.98247,0.00000,325.81714,-552.47960,1394.02948,-777.58571,-578.00150,451.76857,35.40761,35.40761,2.47000,0.00000,32.93761,1
H3,c2ax,1.94645,-2.71580,1.44184,-0.00000,-234.04986,-1977.31711,1049.77120,1107.64875,-1464.70189,-873.59890,-53.72677,-53.72677,3.58000,-0.00000,-57.30677,1
H4,c2eq,1.28403,-2.94403,2.88437,-0.00000,-726.63298,-601.96134,589.76214,391.00346,-1352.20966,335.62952,11.43920,11.43920,2.59000,-0.00000,8.84920,1
H5,c3ax,-0.59161,-1.45046,3.38511,0.00000,-1417.71001,283.73783,-662.19280,-837.80086,-1623.49844,2255.51087,118.76178,118.76178,3.41000,0.00000,115.35178,1
H6,c3eq,-1.16890,-2.89541,3.00425,-0.00000,-764.61498,528.97366,-548.85755,332.12842,-1359.54675,432.48657,16.49193,16.49193,2.32000,-0.00000,14.17193,1
H7,c4ax,-2.70756,-1.91128,1.48902,0.00000,1104.92961,1951.15456,-1520.08482,-281.78426,-1073.03633,-823.14535,-28.80292,-28.80292,3.82000,0.00000,-32.62292,1
H8,c4eq,-2.91787,-1.27883,2.94713,-0.00000,346.66099,578.60336,-1333.42032,-719.93262,-584.40567,373.27162,30.94359,30.94359,2.48000,-0.00000,28.46359,1
H9,c5eq,-2.77934,1.11825,3.18052,0.00000,204.04934,-465.93553,-1325.20930,-766.53792,533.18962,562.48858,40.15872,40.15872,2.40000,0.00000,37.75872,1
H10,c5ax,-1.30566,0.55776,3.45213,-0.00000,-968.46335,-239.92194,-1484.95066,-1427.60838,634.34738,2396.07173,134.61956,134.61956,3.41000,-0.00000,131.20956,1
H11,c6eq,-1.18197,2.83582,3.12889,-0.00000,-738.05048,-493.52611,-544.53071,240.33009,1306.45423,497.72039,21.09771,21.09771,2.50000,-0.00000,18.59771,1
H12,c6ax,-1.96095,2.71932,1.73524,0.00000,-281.81390,-1660.41924,-1059.54267,823.39408,1469.30710,-541.58018,-34.20151,-34.20151,3.53000,0.00000,-37.73151,1
H13,c7ax,0.73582,1.39066,3.36687,-0.00000,-1368.06183,344.60699,834.31309,-899.10462,1576.81721,2267.16645,120.23663,120.23663,3.37000,-0.00000,116.86663,1
H14,c7eq,1.25960,2.85386,2.98975,-0.00000,-734.97137,569.81571,596.94915,304.54647,1352.49271,430.42490,16.81362,16.81362,2.29000,-0.00000,14.52362,1
H15,c8eq,2.98953,1.31018,2.78323,0.00000,460.90590,643.85094,1367.74160,-726.04567,599.42012,265.13977,26.10976,26.10976,2.43000,0.00000,23.67976,1
H16,c8ax,2.66146,1.95822,1.35667,0.00000,1162.18525,2139.88724,1482.52846,-171.71731,1090.79922,-990.46794,-38.97284,-38.97284,2.98000,0.00000,-41.95284,1
H17,a1ax,-1.31546,-3.17535,0.37073,0.00000,-1089.46282,2019.74288,-235.80934,2949.19510,-569.21160,-1859.73228,-128.09944,-128.09944,3.43000,0.00000,-131.52944,1
H18,a1eq,-0.21365,-4.09105,1.09461,0.00000,-1035.77882,152.21048,-40.72561,1870.85467,-779.82909,-835.07585,-65.28469,-65.28469,2.59000,0.00000,-67.87469,1
H19,Me1,-1.11990,-3.13051,-2.29729,-0.00000,-927.92510,776.45962,569.79638,964.77741,1592.77669,-36.85230,-14.03487,-15.96180,1.26000,-0.00000,-17.22180,1
H20,Me1,-0.59692,-4.62759,-2.07760,-0.00000,-572.76294,189.71779,85.17558,873.54150,660.31890,-300.77856,-14.03487,-26.40743,1.26000,-0.00000,-27.66743,1
H21,Me1,0.19238,-3.63853,-3.05813,-0.00000,-735.66966,-68.60754,-57.66353,558.31605,1090.62275,177.35361,-14.03487,0.26462,1.26000,-0.00000,-0.99538,1
H22,a2ax,-3.15277,1.33476,0.58833,0.00000,2792.43071,-1985.86182,-875.32148,-1057.51663,370.57844,-1734.91408,-57.67206,-57.67206,3.61000,0.00000,-61.28206,1
H23,a2eq,-4.03663,0.23067,1.34293,0.00000,1742.31710,-158.36989,-921.99338,-1020.00037,52.68734,-722.31673,-13.57592,-13.57592,2.59000,0.00000,-16.16592,1
H24,Me2,-3.39939,1.27309,-2.00753,-0.00000,1131.36382,-841.24266,1326.54700,-799.85620,-496.80028,-331.50762,2.14037,-0.62999,1.44000,-0.00000,-2.06999,1
H25,Me2,-4.85702,0.67152,-1.73605,-0.00000,913.68587,-204.50267,528.69559,-537.19225,-73.09571,-376.49362,2.14037,-6.89689,1.44000,-0.00000,-8.33689,1
H26,Me2,-3.90832,0.00248,-2.83617,-0.00000,682.06194,-0.88043,1007.78067,-706.69038,-0.63891,24.62843,2.14037,13.94800,1.44000,-0.00000,12.50800,1
H27,a3ax,1.15361,3.29629,0.46645,0.00000,-1234.25280,1671.95609,236.59617,2957.98104,676.03962,-1723.72824,-122.12022,-122.12022,3.41000,0.00000,-125.53022,1
H28,a3eq,0.01064,4.09092,1.26304,-0.00000,-1013.91644,7.21961,2.22899,1763.13726,857.39783,-749.22082,-59.48111,-59.48111,2.78000,-0.00000,-62.26111,1
