Max Moments,Best χ Error,Mean χ Error,Std χ Error,Mean Time (s),Std Time (s)
2,5.152683e-06,2.026588e-01,1.158138e-01,0.44,0.54
4,5.262640e-06,2.024763e-01,1.150964e-01,0.23,0.44
6,5.322666e-06,2.018638e-01,1.165430e-01,0.06,0.07
8,5.312893e-06,2.046845e-01,1.187227e-01,0.18,0.31
10,4.990530e-06,1.212585e-01,1.340508e-01,0.13,0.13
12,4.265053e-05,7.243862e-02,1.157735e-01,0.36,0.49
15,5.043039e-03,1.180459e-01,1.023016e-01,0.78,0.69
20,3.367160e-04,1.410649e-01,1.106850e-01,0.97,0.54
25,1.036115e-02,1.368697e-01,8.757339e-02,0.50,0.54
30,2.707791e-02,1.848346e-01,9.048673e-02,1.10,0.55
45,2.719565e-02,1.581799e-01,7.797209e-02,0.73,0.68
